,Estrato,Genero,Edad,Grado,Zona,Deporte,Trabaja,Invitacion_drogas,Consecuencias_consumo,Padres_alcohol,Reaccion_padres,Cigarrillo,Consume_droga,A_que_edad,Atencion_padres,Conocimiento_amistades_padres,Continua,Grados_perdidos,Recreo,Acoso_escolar,Acoso_sexual,Relacion_familiar,Limitaciones,Sexualidad,Habitacion_compartida,Perdida_familiar,Rupturas_amorosas,Situacion_sentimental,Otro_colegio,Familiares_consumidores,Colegio,MadreyPadre,Otros_familiares,Solo Madre,Solo Padre,Casados,Separados,Soltero_soltera,Unión_libre,Viudo_viuda,Agresivo,Alegre,Extrovertido,Malhumorado,Timido,Impulsivo,Calle,Casa,Colegio,Con_pareja_sentimental,Fiestas,No_consumido,Parque,Paseo
68,4,0,16,11,1,1,0,1,1,2,4,0,1,0.0,2,2,0,0,130000,1,1,4,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
69,3,1,11,6,0,1,0,0,0,2,4,0,0,0.0,3,1,0,0,50000,0,0,3,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
70,6,1,15,10,1,1,0,1,1,2,4,0,1,12.0,3,3,0,0,50000,0,0,3,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
71,3,0,16,10,1,1,0,1,1,2,4,1,0,0.0,3,3,0,0,50000,0,0,4,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72,4,0,15,11,1,0,0,0,1,1,3,0,0,0.0,3,2,0,0,40000,0,0,4,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
73,4,1,17,11,1,1,0,1,1,2,4,0,0,0.0,2,2,0,1,100000,0,0,4,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
74,4,0,17,11,1,1,0,0,1,2,4,0,0,0.0,3,3,0,0,20000,1,0,4,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
75,4,1,17,10,0,1,1,1,1,2,4,1,1,15.0,3,3,0,1,50000,0,0,3,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
76,5,0,15,8,1,0,0,0,1,1,3,0,0,0.0,3,3,0,1,40000,0,0,4,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
77,3,1,17,10,0,1,0,0,1,2,4,0,0,0.0,3,3,0,1,30000,0,0,3,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78,4,1,17,10,1,1,0,1,1,2,4,1,1,15.0,2,1,0,1,10000,1,0,2,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
79,3,1,16,11,1,1,0,0,1,2,4,0,0,0.0,3,3,0,0,70000,1,0,3,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
80,4,0,16,11,1,1,0,0,1,2,4,0,0,0.0,3,3,0,0,30000,1,0,4,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
81,5,1,14,9,1,1,0,1,1,1,4,0,0,0.0,3,3,0,0,50000,1,0,4,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
82,5,1,15,10,1,1,0,0,1,2,4,0,0,0.0,3,3,0,1,140000,0,0,3,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
83,2,0,15,10,1,1,0,0,1,2,4,0,0,0.0,3,2,0,0,50000,0,0,4,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
84,4,0,15,10,1,1,0,0,0,2,3,0,0,0.0,2,1,0,0,2000,1,1,3,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
85,3,0,14,10,0,1,1,1,0,1,4,0,0,0.0,3,2,0,0,5000,1,0,2,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
86,4,1,16,11,1,1,0,1,1,2,4,0,0,0.0,3,3,0,0,70000,1,0,4,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
87,4,1,16,10,1,1,0,1,1,2,3,1,0,0.0,2,2,0,0,30000,0,0,3,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
88,4,1,16,11,1,1,0,1,1,1,2,0,0,0.0,3,1,0,0,50000,1,0,3,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
89,3,0,16,10,0,0,0,1,1,1,4,0,0,0.0,3,3,0,1,100000,0,0,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
90,3,1,11,6,0,1,0,0,1,2,4,0,0,0.0,3,3,0,0,28000,0,0,3,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
91,4,0,11,6,1,1,0,1,1,2,4,0,0,0.0,3,2,0,0,40000,0,0,4,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
92,4,0,11,6,1,1,0,1,1,2,3,0,0,0.0,3,2,0,0,40000,0,0,4,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
93,5,1,15,10,1,0,0,1,0,3,2,1,1,11.0,2,1,1,1,100000,0,1,2,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
